الصنف,وزن الكرتونة (كيلو),المخطط بالكراتين (شهري),يوم 1,يوم 2,يوم 3,يوم 4,يوم 5,يوم 6,يوم 7,يوم 8,يوم 9,يوم 10,يوم 11,يوم 12,يوم 13,يوم 14,يوم 15,يوم 16,يوم 17,يوم 18,يوم 19,يوم 20,يوم 21,يوم 22,يوم 23,يوم 24,يوم 25,يوم 26,يوم 27,يوم 28,يوم 29,يوم 30,يوم 31
سولا قهوة 10 كيلو,10.0,1500,0,0,0,1059,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا قهوه 12 علبه * 240 قطعه,11.52,2000,0,0,0,0,0,0,0,610,818,0,0,49,635,1502,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا قهوه 12 كيس * 120 قطعه,5.8,3000,0,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0
سولا قهوة 12 كيس * 55 قطعه,2.6,4000,0,0,0,0,0,692,0,470,0,0,0,0,0,0,164,0,0,0,1092,0,0,0,0,0,0,0,0,0,0,0,0
سولا زبده 10 كيلو,10.0,1500,0,0,0,0,0,0,0,0,0,0,531,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا زبده 12 علبه * 240 قطعه,11.52,1500,211,0,0,57,0,0,755,104,0,0,229,220,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0
سولا زبده 12 كيس * 120 قطعه,5.76,4000,752,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا زبده 12 كيس * 55 قطعه,2.6,3000,1028,0,0,0,0,0,0,0,0,0,450,0,0,0,0,849,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0
سولا سوبر فيينا 10 كيلو فواكه,10.0,4000,0,0,0,0,0,0,0,191,0,0,288,0,0,0,987,0,0,483,0,893,0,0,0,0,0,0,0,0,0,0,0
سولا فواكه 12 علبه * 240 قطعه,11.52,3000,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا فواكه 12 كيس * 100 قطعه,4.8,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا سوبر فيينا 10 كيلو نعناع,10.0,2500,0,0,0,0,403,0,0,0,0,0,67,1249,0,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا نعناع 12 علبه * 240 قطعه,11.52,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا نعناع 12 كيس * 100 قطعه,4.8,3000,0,0,0,0,1180,0,0,0,0,0,0,0,170,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا كاندي 12 كيس * 700 جرام الصين,8.4,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا طلبية كينيا GBL,0.0,3290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا قهوه 6 علبه * 24 كيس ليبيا,4.7,950,0,0,0,0,0,0,0,0,101,0,100,30,0,0,100,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا نعناع 6علبه * 24 كيس _ليبيا,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,175,155,0,0,0,0,0,0,0,0,0,0,0
سولا زبده ش 18 قطعه * 30 كيس _ليبيا,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
سولا قهوه 30 كيس * 18 قطعه,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سولا نعناع 30 كيس * 18 قطعه _ليبيا,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0
